YYYY-MM-DD,evap_comb,evap_comb_source,radiation,radiation_source
1889-01-01,10.8,26,23.9,35
1889-01-02,10.8,26,23.9,35
1889-01-03,10.4,26,24.2,35
1889-01-04,11.3,26,24.1,35
1889-01-05,10.8,26,23.7,35
1889-01-06,11.1,26,23.7,35
1889-01-07,11.3,26,23.4,35
1889-01-08,11.4,26,23.7,35
1889-01-09,11.6,26,23.3,35
1889-01-10,11.7,26,23.6,35
1889-01-11,11.6,26,23.4,35
1889-01-12,11.4,26,23.1,35
1889-01-13,11.1,26,22.5,35
1889-01-14,11.2,26,22.3,35
1889-01-15,11.3,26,22.2,35
1889-01-16,11,26,22,35
1889-01-17,11.3,26,23,35
1889-01-18,11.1,26,23.2,35
1889-01-19,11.2,26,23.4,35
1889-01-20,11.5,26,22.9,35
1889-01-21,11.5,26,23.1,35
1889-01-22,11.5,26,23.3,35
1889-01-23,11.1,26,23.3,35
1889-01-24,10.6,26,23,35
1889-01-25,10.5,26,23,35
1889-01-26,10.7,26,22.8,35
1889-01-27,11,26,22.9,35
1889-01-28,10.6,26,22.4,35
1889-01-29,10.5,26,22.5,35
1889-01-30,10.6,26,22.9,35
1889-01-31,11.2,26,22.7,35
1889-02-01,10.8,26,22.8,35
1889-02-02,10.8,26,22.8,35
1889-02-03,10.3,26,22.9,35
1889-02-04,10.3,26,22.4,35
1889-02-05,9.5,26,22.6,35
1889-02-06,9.7,26,22.4,35
1889-02-07,9.6,26,22.6,35
1889-02-08,9.6,26,22.1,35
1889-02-09,9.9,26,22.3,35
1889-02-10,10,26,22.2,35
1889-02-11,10.2,26,22.4,35
1889-02-12,10.3,26,22.2,35
1889-02-13,10.1,26,22,35
1889-02-14,9.9,26,22,35
1889-02-15,10.1,26,21.8,35
1889-02-16,10.1,26,21.5,35
1889-02-17,10.2,26,21.4,35
1889-02-18,10.1,26,21.6,35
1889-02-19,10.1,26,22.1,35
1889-02-20,10.2,26,22.2,35
1889-02-21,10.4,26,22.3,35
1889-02-22,10.2,26,22,35
1889-02-23,10.2,26,21.8,35
1889-02-24,10,26,21.8,35
1889-02-25,10.4,26,22,35
1889-02-26,10.4,26,21.5,35
1889-02-27,10.5,26,21.8,35
1889-02-28,9.8,26,21.9,35
1889-03-01,9.5,26,21.8,35
1889-03-02,9.7,26,21.8,35
1889-03-03,9.7,26,21.6,35
1889-03-04,10,26,21.3,35
1889-03-05,10.5,26,21.7,35
1889-03-06,10,26,21.7,35
1889-03-07,9.8,26,21.5,35
1889-03-08,9.3,26,21.7,35
1889-03-09,9.4,26,21.9,35
1889-03-10,9.5,26,22,35
1889-03-11,9.8,26,21.9,35
1889-03-12,9.7,26,22.1,35
1889-03-13,9.8,26,22.1,35
1889-03-14,10.4,26,22.1,35
1889-03-15,10.6,26,21.9,35
1889-03-16,10,26,22.1,35
1889-03-17,9.8,26,21.7,35
1889-03-18,9.9,26,21.8,35
1889-03-19,10.1,26,21.7,35
1889-03-20,10.1,26,21.9,35
1889-03-21,9.9,26,21.6,35
1889-03-22,9.5,26,21.4,35
1889-03-23,9.7,26,21.8,35
1889-03-24,9.7,26,21.5,35
1889-03-25,9.8,26,21.7,35
1889-03-26,9.7,26,21.5,35
1889-03-27,9.8,26,21.4,35
1889-03-28,9.8,26,21.5,35
1889-03-29,9.6,26,21.5,35
1889-03-30,9.8,26,21.8,35
1889-03-31,9.8,26,21.8,35
1889-04-01,9.5,26,21.5,35
1889-04-02,10,26,21.9,35
1889-04-03,9.8,26,22,35
1889-04-04,9.7,26,21.8,35
1889-04-05,10.1,26,21.6,35
1889-04-06,9.3,26,21.2,35
1889-04-07,9.3,26,21.6,35
1889-04-08,9.1,26,21.3,35
1889-04-09,9.1,26,21.5,35
1889-04-10,9.2,26,21.1,35
1889-04-11,9.2,26,21.1,35
1889-04-12,9.1,26,20.7,35
1889-04-13,9.1,26,20.6,35
1889-04-14,9.2,26,20.5,35
1889-04-15,8.7,26,20.5,35
1889-04-16,8.7,26,20.5,35
1889-04-17,8.9,26,20.5,35
1889-04-18,9,26,20.8,35
1889-04-19,8.9,26,20.6,35
1889-04-20,8.9,26,20.6,35
1889-04-21,8.9,26,20.5,35
1889-04-22,8.9,26,20.3,35
1889-04-23,8.8,26,20.3,35
1889-04-24,9,26,20.3,35
1889-04-25,8.5,26,19.8,35
1889-04-26,8.5,26,19.9,35
1889-04-27,8.4,26,19.5,35
1889-04-28,8.3,26,19.5,35
1889-04-29,8.6,26,19.7,35
1889-04-30,8.6,26,19.6,35
1889-05-01,8.4,26,19.6,35
1889-05-02,8.3,26,19.4,35
1889-05-03,8.4,26,19.3,35
1889-05-04,7.9,26,18.7,35
1889-05-05,7.2,26,18.6,35
1889-05-06,7.6,26,18.5,35
1889-05-07,7.5,26,18.4,35
1889-05-08,7.5,26,18.4,35
1889-05-09,7.3,26,17.7,35
1889-05-10,7.5,26,18.1,35
1889-05-11,7.4,26,18.1,35
1889-05-12,7.3,26,18,35
1889-05-13,7.4,26,18.2,35
1889-05-14,7.3,26,17.9,35
1889-05-15,7.4,26,17.9,35
1889-05-16,7.4,26,17.8,35
1889-05-17,7.3,26,17.7,35
1889-05-18,7.4,26,17.7,35
1889-05-19,7.3,26,17.3,35
1889-05-20,7.1,26,17.4,35
1889-05-21,7.1,26,17.4,35
1889-05-22,7.1,26,17.3,35
1889-05-23,7.2,26,17.6,35
1889-05-24,7.1,26,17.5,35
1889-05-25,7.1,26,17.7,35
1889-05-26,7,26,17.7,35
1889-05-27,7,26,17.4,35
1889-05-28,7.1,26,17.4,35
1889-05-29,7.2,26,17.3,35
1889-05-30,6.9,26,17.2,35
1889-05-31,6.9,26,17.6,35
1889-06-01,6.5,26,17.3,35
1889-06-02,6.5,26,16.9,35
1889-06-03,6.7,26,17.3,35
1889-06-04,6.6,26,16.9,35
1889-06-05,6.5,26,16.8,35
1889-06-06,6.4,26,16.7,35
1889-06-07,6.5,26,17,35
1889-06-08,6.5,26,16.6,35
1889-06-09,6.5,26,16.9,35
1889-06-10,6.5,26,17,35
1889-06-11,6.6,26,16.9,35
1889-06-12,6.6,26,17.1,35
1889-06-13,6.4,26,16.8,35
1889-06-14,6.5,26,16.9,35
1889-06-15,6.5,26,16.8,35
1889-06-16,6.5,26,17.1,35
1889-06-17,6.4,26,17.1,35
1889-06-18,6.5,26,17.1,35
1889-06-19,6.4,26,17,35
1889-06-20,6.4,26,17.2,35
1889-06-21,6.4,26,17.4,35
1889-06-22,6.4,26,17.3,35
1889-06-23,6.4,26,17.3,35
1889-06-24,6.5,26,17.6,35
1889-06-25,6.5,26,17.8,35
1889-06-26,6.6,26,17.9,35
1889-06-27,6.6,26,17.8,35
1889-06-28,6.6,26,17.6,35
1889-06-29,6.6,26,17.5,35
1889-06-30,6.5,26,17.5,35
1889-07-01,6.7,26,17.6,35
1889-07-02,6.7,26,17.7,35
1889-07-03,6.7,26,17.8,35
1889-07-04,6.7,26,17.9,35
1889-07-05,6.8,26,18,35
1889-07-06,6.8,26,17.9,35
1889-07-07,6.8,26,17.9,35
1889-07-08,6.8,26,18,35
1889-07-09,6.8,26,18,35
1889-07-10,6.8,26,18,35
1889-07-11,6.7,26,17.7,35
1889-07-12,6.7,26,17.9,35
1889-07-13,6.7,26,17.7,35
1889-07-14,6.7,26,17.8,35
1889-07-15,6.8,26,18.1,35
1889-07-16,6.8,26,18.5,35
1889-07-17,6.9,26,18.6,35
1889-07-18,6.9,26,18.8,35
1889-07-19,6.9,26,18.6,35
1889-07-20,7,26,18.7,35
1889-07-21,6.9,26,18.7,35
1889-07-22,7,26,18.9,35
1889-07-23,6.9,26,19,35
1889-07-24,7,26,19.1,35
1889-07-25,7,26,19.3,35
1889-07-26,7.1,26,19.6,35
1889-07-27,7.2,26,19.8,35
1889-07-28,7.2,26,19.8,35
1889-07-29,7.2,26,19.9,35
1889-07-30,7.3,26,19.9,35
1889-07-31,7.3,26,20.1,35
1889-08-01,8.6,26,20.1,35
1889-08-02,8.7,26,20.4,35
1889-08-03,8.8,26,20.5,35
1889-08-04,8.7,26,20.5,35
1889-08-05,8.7,26,20.5,35
1889-08-06,8.8,26,20.5,35
1889-08-07,8.9,26,20.7,35
1889-08-08,8.9,26,20.8,35
1889-08-09,8.9,26,20.9,35
1889-08-10,8.9,26,21,35
1889-08-11,8.9,26,20.8,35
1889-08-12,8.9,26,21.2,35
1889-08-13,9,26,21.4,35
1889-08-14,9,26,21.6,35
1889-08-15,9.1,26,21.8,35
1889-08-16,9.1,26,21.8,35
1889-08-17,9.1,26,21.9,35
1889-08-18,9.2,26,22,35
1889-08-19,9.3,26,21.9,35
1889-08-20,9.3,26,22,35
1889-08-21,9.3,26,22.2,35
1889-08-22,9.3,26,22.1,35
1889-08-23,9.2,26,22.1,35
1889-08-24,9.3,26,22.2,35
1889-08-25,9.4,26,22.3,35
1889-08-26,9.4,26,22.5,35
1889-08-27,9.5,26,22.7,35
1889-08-28,9.6,26,22.6,35
1889-08-29,9.6,26,22.6,35
1889-08-30,9.4,26,22.4,35
1889-08-31,9.4,26,22.7,35
1889-09-01,10.3,26,22.7,35
1889-09-02,10.3,26,22.7,35
1889-09-03,10.4,26,22.6,35
1889-09-04,10.7,26,22.9,35
1889-09-05,10.7,26,22.9,35
1889-09-06,10.9,26,23.1,35
1889-09-07,11.1,26,23.1,35
1889-09-08,11.2,26,23.3,35
1889-09-09,11.1,26,23.7,35
1889-09-10,10.7,26,23.8,35
1889-09-11,11.1,26,23.9,35
1889-09-12,11.2,26,24,35
1889-09-13,11.1,26,24,35
1889-09-14,11.3,26,24,35
1889-09-15,11.8,26,24.2,35
1889-09-16,11.4,26,24.1,35
1889-09-17,11.6,26,24,35
1889-09-18,11.4,26,24.6,35
1889-09-19,11.5,26,24.8,35
1889-09-20,11.6,26,24.8,35
1889-09-21,11.7,26,24.7,35
1889-09-22,11.9,26,24.6,35
1889-09-23,11.6,26,24.1,35
1889-09-24,11.7,26,24.4,35
1889-09-25,11.8,26,24.4,35
1889-09-26,12.4,26,24.5,35
1889-09-27,12.1,26,24.3,35
1889-09-28,11.7,26,24.4,35
1889-09-29,11.9,26,24.6,35
1889-09-30,11.9,26,24.7,35
1889-10-01,12.1,26,24.6,35
1889-10-02,12,26,24.6,35
1889-10-03,12.4,26,24.5,35
1889-10-04,12.1,26,24.5,35
1889-10-05,12,26,24.4,35
1889-10-06,11.7,26,24.5,35
1889-10-07,11.7,26,24.5,35
1889-10-08,11.5,26,24.5,35
1889-10-09,12.1,26,25,35
1889-10-10,12.1,26,25.1,35
1889-10-11,12.4,26,25.2,35
1889-10-12,12.4,26,25,35
1889-10-13,12.5,26,24.9,35
1889-10-14,12.7,26,25.1,35
1889-10-15,12.7,26,25.1,35
1889-10-16,12,26,24.9,35
1889-10-17,12,26,24.9,35
1889-10-18,12.2,26,25.3,35
1889-10-19,12.2,26,25.5,35
1889-10-20,12.3,26,25.7,35
1889-10-21,12.5,26,26.3,35
1889-10-22,12.9,26,26.5,35
1889-10-23,12.9,26,26.5,35
1889-10-24,13.1,26,26.6,35
1889-10-25,13.6,26,26.7,35
1889-10-26,12.9,26,26.2,35
1889-10-27,12.3,26,26.2,35
1889-10-28,12.7,26,25.9,35
1889-10-29,12.6,26,25.4,35
1889-10-30,12.5,26,25.2,35
1889-10-31,12.6,26,24.9,35
1889-11-01,12.2,26,24.9,35
1889-11-02,12.3,26,24.7,35
1889-11-03,12.4,26,25,35
1889-11-04,12.4,26,25.2,35
1889-11-05,12.6,26,25.7,35
1889-11-06,12.6,26,25.5,35
1889-11-07,12.7,26,25.2,35
1889-11-08,12.7,26,25.3,35
1889-11-09,12.7,26,25.5,35
1889-11-10,12.4,26,25.7,35
1889-11-11,12.5,26,25.6,35
1889-11-12,12.4,26,25.6,35
1889-11-13,12.5,26,25.6,35
1889-11-14,13,26,25.8,35
1889-11-15,13,26,25.3,35
1889-11-16,12.4,26,25,35
1889-11-17,12.3,26,24.9,35
1889-11-18,12.2,26,24.6,35
1889-11-19,12.7,26,25.1,35
1889-11-20,12.5,26,24.7,35
1889-11-21,12.4,26,24.9,35
1889-11-22,12.6,26,24.7,35
1889-11-23,12.9,26,25.2,35
1889-11-24,12.7,26,25.3,35
1889-11-25,12.6,26,25.4,35
1889-11-26,12.4,26,25.4,35
1889-11-27,12.5,26,25.2,35
1889-11-28,12.6,26,25.3,35
1889-11-29,12.5,26,25.2,35
1889-11-30,12.6,26,25,35
1889-12-01,11.9,26,24.3,35
1889-12-02,12.2,26,24.1,35
1889-12-03,12.1,26,24.3,35
1889-12-04,12.2,26,24.4,35
1889-12-05,11.9,26,24.8,35
1889-12-06,11.8,26,25.1,35
1889-12-07,11.7,26,24.8,35
1889-12-08,11.9,26,25.2,35
1889-12-09,12.1,26,24.8,35
1889-12-10,12.4,26,24.7,35
1889-12-11,11.9,26,24,35
1889-12-12,11.6,26,24,35
1889-12-13,12.1,26,24.6,35
1889-12-14,12.3,26,24.3,35
1889-12-15,12.5,26,24.2,35
1889-12-16,11.9,26,24.1,35
1889-12-17,11.6,26,24,35
1889-12-18,11.7,26,24,35
1889-12-19,11.7,26,23.9,35
1889-12-20,11.2,26,23.6,35
1889-12-21,11.3,26,24.1,35
1889-12-22,11.2,26,23.6,35
1889-12-23,10.9,26,23.2,35
1889-12-24,11,26,23.1,35
1889-12-25,11.4,26,24,35
1889-12-26,11.4,26,24.2,35
1889-12-27,11.3,26,24.5,35
1889-12-28,11.5,26,24.6,35
1889-12-29,11.5,26,24.4,35
1889-12-30,11.4,26,23.8,35
1889-12-31,11.4,26,24,35
1890-01-01,11.3,26,23.8,35
1890-01-02,10.8,26,22.4,35
1890-01-03,10.8,26,22.1,35
1890-01-04,10.9,26,22.2,35
1890-01-05,10,26,22.4,35
1890-01-06,10.7,26,23.1,35
1890-01-07,11.2,26,23,35
1890-01-08,10.7,26,23,35
1890-01-09,10.8,26,23.2,35
1890-01-10,10.9,26,22.8,35
1890-01-11,10.7,26,23.2,35
1890-01-12,10.5,26,22.6,35
1890-01-13,10.2,26,22.5,35
1890-01-14,10.7,26,22.8,35
1890-01-15,10.7,26,23.1,35
1890-01-16,10.8,26,23.1,35
1890-01-17,11.3,26,23.2,35
1890-01-18,11.1,26,23.1,35
1890-01-19,11,26,23.4,35
1890-01-20,11.2,26,23,35
1890-01-21,11.2,26,23,35
1890-01-22,10.6,26,22.7,35
1890-01-23,10.7,26,23.4,35
1890-01-24,10.8,26,23.3,35
1890-01-25,10.9,26,22.9,35
1890-01-26,10.6,26,22.8,35
1890-01-27,11,26,22,35
1890-01-28,10.1,26,22.1,35
1890-01-29,10.3,26,23,35
1890-01-30,10.5,26,22.8,35
1890-01-31,10.6,26,23.1,35
1890-02-01,10.2,26,23.2,35
1890-02-02,10.8,26,23,35
1890-02-03,10.1,26,22.9,35
1890-02-04,10.2,26,23,35
1890-02-05,9.9,26,23.1,35
1890-02-06,9.7,26,22.6,35
1890-02-07,9.6,26,22.1,35
1890-02-08,9.7,26,22.1,35
1890-02-09,9.6,26,22.3,35
1890-02-10,9.5,26,21.6,35
1890-02-11,9.5,26,21.9,35
1890-02-12,9.6,26,22.2,35
1890-02-13,9.5,26,21.8,35
1890-02-14,9.8,26,21.8,35
1890-02-15,9.7,26,22,35
1890-02-16,9.5,26,21.8,35
1890-02-17,9.5,26,21.5,35
1890-02-18,9.6,26,22.2,35
1890-02-19,9.7,26,22.4,35
1890-02-20,9.5,26,22.3,35
1890-02-21,9.6,26,22.1,35
1890-02-22,9.9,26,22.2,35
1890-02-23,9.9,26,22,35
1890-02-24,9.7,26,21.7,35
1890-02-25,10,26,22,35
1890-02-26,9.7,26,21.6,35
1890-02-27,9.9,26,21.8,35
1890-02-28,9.6,26,21.6,35
1890-03-01,9.5,26,21.7,35
1890-03-02,9.1,26,21.6,35
1890-03-03,9.3,26,21.7,35
1890-03-04,9.3,26,21.8,35
1890-03-05,9.9,26,21.7,35
1890-03-06,10.2,26,21.7,35
1890-03-07,9.5,26,21.7,35
1890-03-08,9.4,26,21.8,35
1890-03-09,9.5,26,21.8,35
1890-03-10,9.4,26,22,35
1890-03-11,9.3,26,21.9,35
1890-03-12,9.3,26,22.1,35
1890-03-13,9.1,26,21.9,35
1890-03-14,9.5,26,21.6,35
1890-03-15,9.4,26,21.7,35
1890-03-16,9.5,26,21.3,35
1890-03-17,9.4,26,21.4,35
1890-03-18,9.3,26,21,35
1890-03-19,9.2,26,21.3,35
1890-03-20,9.5,26,21.6,35
1890-03-21,9.6,26,22,35
1890-03-22,9.5,26,21.4,35
1890-03-23,9.6,26,21.6,35
1890-03-24,9.5,26,21.5,35
1890-03-25,9.3,26,21.6,35
1890-03-26,9.4,26,21.6,35
1890-03-27,9.2,26,21.5,35
1890-03-28,9.4,26,21.6,35
1890-03-29,9.2,26,21.5,35
1890-03-30,9.4,26,21.6,35
1890-03-31,9.4,26,21.5,35
1890-04-01,9.4,26,21.8,35
1890-04-02,9.2,26,21.4,35
1890-04-03,9.1,26,21.1,35
1890-04-04,9.2,26,21.3,35
1890-04-05,8.9,26,21.2,35
1890-04-06,9.2,26,21.6,35
1890-04-07,9.2,26,21.6,35
1890-04-08,9.2,26,21.7,35
1890-04-09,9,26,21.6,35
1890-04-10,9,26,21.3,35
1890-04-11,8.9,26,20.8,35
1890-04-12,8.7,26,20.9,35
1890-04-13,8.7,26,20.8,35
1890-04-14,8.7,26,20.4,35
1890-04-15,8.8,26,20.7,35
1890-04-16,8.9,26,20.8,35
1890-04-17,8.9,26,20.9,35
1890-04-18,9,26,20.8,35
1890-04-19,8.8,26,20.7,35
1890-04-20,9,26,20.6,35
1890-04-21,8.8,26,20.4,35
1890-04-22,8.7,26,20,35
1890-04-23,8.6,26,20,35
1890-04-24,8.5,26,20.1,35
1890-04-25,8.7,26,19.9,35
1890-04-26,8.7,26,19.9,35
1890-04-27,8.3,26,19.7,35
1890-04-28,8.4,26,19.8,35
1890-04-29,8.1,26,19.9,35
1890-04-30,8.4,26,19.9,35
1890-05-01,8.2,26,19.7,35
1890-05-02,8.1,26,19.8,35
1890-05-03,7.9,26,19.4,35
1890-05-04,7.9,26,19.2,35
1890-05-05,7.8,26,19,35
1890-05-06,7.7,26,18.9,35
1890-05-07,7.8,26,18.9,35
1890-05-08,7.7,26,18.9,35
1890-05-09,7.7,26,18.8,35
1890-05-10,7.8,26,18.6,35
1890-05-11,7.8,26,18.5,35
1890-05-12,7.8,26,18.4,35
1890-05-13,7.6,26,18.3,35
1890-05-14,7.5,26,17.6,35
1890-05-15,7.3,26,17.6,35
1890-05-16,7.2,26,17.7,35
1890-05-17,7.3,26,17.6,35
1890-05-18,7.2,26,17.8,35
1890-05-19,7.2,26,17.8,35
1890-05-20,7.3,26,17.7,35
1890-05-21,7.3,26,17.5,35
1890-05-22,7.3,26,17.6,35
1890-05-23,7.2,26,17.6,35
1890-05-24,7.3,26,17.7,35
1890-05-25,7.2,26,17.8,35
1890-05-26,7.1,26,17.6,35
1890-05-27,7,26,17.2,35
1890-05-28,6.9,26,17.2,35
1890-05-29,7,26,17.4,35
1890-05-30,6.8,26,17.1,35
1890-05-31,6.7,26,16.9,35
1890-06-01,6.5,26,17.1,35
1890-06-02,6.5,26,17.1,35
1890-06-03,6.6,26,17.1,35
1890-06-04,6.6,26,17.1,35
1890-06-05,6.6,26,16.9,35
1890-06-06,6.6,26,17.1,35
1890-06-07,6.6,26,17,35
1890-06-08,6.6,26,16.9,35
1890-06-09,6.5,26,16.7,35
1890-06-10,6.5,26,16.7,35
1890-06-11,6.5,26,17.1,35
1890-06-12,6.4,26,16.9,35
1890-06-13,6.4,26,17.1,35
1890-06-14,6.4,26,17,35
1890-06-15,6.4,26,16.9,35
1890-06-16,6.4,26,16.9,35
1890-06-17,6.4,26,17.1,35
1890-06-18,6.5,26,17.3,35
1890-06-19,6.5,26,17.2,35
1890-06-20,6.5,26,17.2,35
1890-06-21,6.4,26,17.1,35
1890-06-22,6.4,26,17.5,35
1890-06-23,6.5,26,17.7,35
1890-06-24,6.5,26,17.8,35
1890-06-25,6.5,26,17.9,35
1890-06-26,6.6,26,17.9,35
1890-06-27,6.6,26,17.8,35
1890-06-28,6.6,26,17.9,35
1890-06-29,6.6,26,17.8,35
1890-06-30,6.6,26,17.5,35
1890-07-01,6.8,26,17.8,35
1890-07-02,6.7,26,17.8,35
1890-07-03,6.8,26,17.8,35
1890-07-04,6.7,26,17.5,35
1890-07-05,6.8,26,18.1,35
1890-07-06,6.8,26,18,35
1890-07-07,6.7,26,17.9,35
1890-07-08,6.7,26,18,35
1890-07-09,6.7,26,18,35
1890-07-10,6.9,26,18.2,35
1890-07-11,6.8,26,18,35
1890-07-12,6.7,26,17.9,35
1890-07-13,6.7,26,17.7,35
1890-07-14,6.7,26,17.8,35
1890-07-15,6.8,26,18.2,35
1890-07-16,6.8,26,18.5,35
1890-07-17,6.9,26,18.8,35
1890-07-18,6.9,26,18.6,35
1890-07-19,7,26,18.8,35
1890-07-20,7,26,18.8,35
1890-07-21,7,26,18.9,35
1890-07-22,7,26,18.9,35
1890-07-23,7,26,18.8,35
1890-07-24,6.9,26,18.9,35
1890-07-25,7,26,19.1,35
1890-07-26,7,26,19.5,35
1890-07-27,7.1,26,19.9,35
1890-07-28,7.2,26,19.9,35
1890-07-29,7.2,26,19.8,35
1890-07-30,7.2,26,19.8,35
1890-07-31,7.1,26,19.9,35
1890-08-01,8.5,26,19.8,35
1890-08-02,8.6,26,20.4,35
1890-08-03,8.7,26,20.5,35
1890-08-04,8.7,26,20.6,35
1890-08-05,8.8,26,20.6,35
1890-08-06,8.8,26,20.6,35
1890-08-07,8.8,26,20.7,35
1890-08-08,8.9,26,20.9,35
1890-08-09,8.9,26,20.9,35
1890-08-10,9,26,21.1,35
1890-08-11,9.2,26,21.3,35
1890-08-12,9,26,21.1,35
1890-08-13,9,26,21.4,35
1890-08-14,9,26,21.6,35
1890-08-15,9,26,21.9,35
1890-08-16,9.1,26,21.8,35
1890-08-17,9,26,21.5,35
1890-08-18,9.2,26,22,35
1890-08-19,9.1,26,21.7,35
1890-08-20,9.2,26,22,35
1890-08-21,9.3,26,21.9,35
1890-08-22,9.3,26,22.1,35
1890-08-23,9.4,26,22.1,35
1890-08-24,9.3,26,22.2,35
1890-08-25,9.4,26,22.3,35
1890-08-26,9.4,26,22.4,35
1890-08-27,9.5,26,22.6,35
1890-08-28,9.5,26,22.2,35
1890-08-29,9.4,26,22.7,35
1890-08-30,9.4,26,22.3,35
1890-08-31,9.4,26,21.9,35
1890-09-01,10.4,26,22.3,35
1890-09-02,10.4,26,22.6,35
1890-09-03,10.5,26,22.6,35
1890-09-04,10.5,26,22.8,35
1890-09-05,10.5,26,22.7,35
1890-09-06,10.7,26,23.1,35
1890-09-07,10.9,26,23.3,35
1890-09-08,10.9,26,23.5,35
1890-09-09,11.1,26,23.8,35
1890-09-10,11.2,26,24,35
1890-09-11,11.2,26,24,35
1890-09-12,11.3,26,23.9,35
1890-09-13,11.3,26,24,35
1890-09-14,11,26,23.7,35
1890-09-15,11.1,26,23.9,35
1890-09-16,11.2,26,24.1,35
1890-09-17,11.4,26,24.4,35
1890-09-18,11.5,26,24.6,35
1890-09-19,11.4,26,23.9,35
1890-09-20,11.4,26,24.1,35
1890-09-21,11.5,26,24.7,35
1890-09-22,11.6,26,24.7,35
1890-09-23,11.7,26,24.6,35
1890-09-24,11.6,26,24.5,35
1890-09-25,11.7,26,24.6,35
1890-09-26,11.7,26,24.3,35
1890-09-27,11.7,26,24.5,35
1890-09-28,11.8,26,24.6,35
1890-09-29,11.8,26,24.6,35
1890-09-30,11.9,26,24.6,35
1890-10-01,11.8,26,24.6,35
1890-10-02,12.1,26,24.8,35
1890-10-03,12,26,24.8,35
1890-10-04,12.4,26,24.8,35
1890-10-05,12,26,24.8,35
1890-10-06,12.2,26,24.2,35
1890-10-07,12.1,26,24.4,35
1890-10-08,11.6,26,24.5,35
1890-10-09,11.9,26,25,35
1890-10-10,12.1,26,25.2,35
1890-10-11,12.1,26,25.1,35
1890-10-12,12.1,26,25.2,35
1890-10-13,12.2,26,25,35
1890-10-14,12,26,24.8,35
1890-10-15,12,26,24.9,35
1890-10-16,12.2,26,25.2,35
1890-10-17,12.2,26,25.2,35
1890-10-18,12.3,26,25.1,35
1890-10-19,12.2,26,25.2,35
1890-10-20,12.2,26,25.5,35
1890-10-21,12.2,26,26.4,35
1890-10-22,12.6,26,26,35
1890-10-23,12.4,26,26.2,35
1890-10-24,12.8,26,26.4,35
1890-10-25,12.6,26,26.6,35
1890-10-26,12.5,26,26.2,35
1890-10-27,12.9,26,26.4,35
1890-10-28,12.6,26,25.9,35
1890-10-29,12.3,26,24.8,35
1890-10-30,12.3,26,24.9,35
1890-10-31,12.4,26,25.1,35
1890-11-01,12.3,26,25,35
1890-11-02,12.3,26,25,35
1890-11-03,12.2,26,25,35
1890-11-04,12.4,26,25.4,35
1890-11-05,12.4,26,25.3,35
1890-11-06,12.5,26,25.5,35
1890-11-07,12.4,26,25.7,35
1890-11-08,12.6,26,25.8,35
1890-11-09,12.7,26,25.7,35
1890-11-10,12.7,26,25.8,35
1890-11-11,12.7,26,25.9,35
1890-11-12,12.6,26,25.5,35
1890-11-13,12.6,26,25.7,35
1890-11-14,12.4,26,25.6,35
1890-11-15,12.5,26,25.5,35
1890-11-16,12.5,26,25.2,35
1890-11-17,12.3,26,25.5,35
1890-11-18,12.7,26,25.8,35
1890-11-19,12.7,26,24.9,35
1890-11-20,12.7,26,25.3,35
1890-11-21,12.3,26,25.2,35
1890-11-22,12.1,26,24.2,35
1890-11-23,12.4,26,24.9,35
1890-11-24,12.1,26,24.7,35
1890-11-25,12.2,26,25.6,35
1890-11-26,12.4,26,25.7,35
1890-11-27,12.2,26,25,35
1890-11-28,12.5,26,25.4,35
1890-11-29,12.6,26,25.5,35
1890-11-30,12.3,26,24.7,35
1890-12-01,11.4,26,24.5,35
1890-12-02,11.4,26,22.4,35
1890-12-03,11.5,26,24.4,35
1890-12-04,11.3,26,24.2,35
1890-12-05,11.6,26,25.2,35
1890-12-06,12.3,26,25.6,35
1890-12-07,11.8,26,25.4,35
1890-12-08,11.9,26,24.8,35
1890-12-09,12,26,24.8,35
1890-12-10,12.1,26,24.6,35
1890-12-11,11.6,26,24.2,35
1890-12-12,11.8,26,24.5,35
1890-12-13,11.6,26,24.6,35
1890-12-14,11.7,26,24.7,35
1890-12-15,11.6,26,24.7,35
1890-12-16,11.8,26,23.9,35
1890-12-17,11.7,26,24.4,35
1890-12-18,11.8,26,25.3,35
1890-12-19,11.3,26,23.6,35
1890-12-20,11.3,26,23.7,35
1890-12-21,11.3,26,24,35
1890-12-22,11.2,26,24,35
1890-12-23,11,26,24.2,35
1890-12-24,11.4,26,24.1,35
1890-12-25,11.3,26,23.8,35
1890-12-26,11.6,26,24.7,35
1890-12-27,11.5,26,24.7,35
1890-12-28,11.1,26,24.2,35
1890-12-29,11.1,26,24.3,35
1890-12-30,11.1,26,24.6,35
1890-12-31,11.4,26,24.3,35
1891-01-01,11.6,26,24.1,35
1891-01-02,11.7,26,23.9,35
1891-01-03,11.9,26,23.8,35
1891-01-04,11.1,26,23.9,35
1891-01-05,10.8,26,24.1,35
1891-01-06,11.1,26,23.8,35
1891-01-07,10.8,26,23.7,35
1891-01-08,11,26,23.4,35
1891-01-09,11.2,26,24.1,35
1891-01-10,11.1,26,23.1,35
1891-01-11,11.1,26,23.1,35
1891-01-12,10.9,26,22.4,35
1891-01-13,10.4,26,21.8,35
1891-01-14,10.1,26,21.7,35
1891-01-15,9.6,26,19,35
1891-01-16,9.7,26,22.6,35
1891-01-17,10.4,26,23.2,35
1891-01-18,10.4,26,23,35
